graph_id,vertices,edges,algorithm,total_cost,comparisons,finds,unions,heapOps,time_ms
1,5,6,Prim,9,48,0,0,12,0.422
1,5,6,Kruskal,9,10,22,4,0,2.422
2,6,8,Prim,14,64,0,0,16,0.033
2,6,8,Kruskal,14,17,25,5,0,0.081
3,7,10,Prim,18,80,0,0,20,0.028
3,7,10,Kruskal,18,23,30,6,0,0.051
4,10,13,Prim,30,130,0,0,26,0.034
4,10,13,Kruskal,30,37,47,9,0,0.196
5,20,22,Prim,73,264,0,0,44,0.052
5,20,22,Kruskal,73,73,100,19,0,0.163
1,284,852,Prim,1235,17040,0,0,1704,2.510
1,284,852,Kruskal,1235,6682,3643,283,0,2.679
2,113,339,Prim,463,5424,0,0,678,0.727
2,113,339,Kruskal,463,2492,1218,112,0,1.011
3,214,642,Prim,1016,11556,0,0,1284,1.494
3,214,642,Kruskal,1016,5129,2801,213,0,1.748
4,39,117,Prim,151,1638,0,0,234,0.333
4,39,117,Kruskal,151,715,447,38,0,0.316
5,53,159,Prim,225,2226,0,0,318,0.298
5,53,159,Kruskal,225,1014,499,52,0,0.257
6,154,462,Prim,787,8316,0,0,924,0.846
6,154,462,Kruskal,787,3536,1760,153,0,0.637
7,187,564,Prim,781,10152,0,0,1128,0.419
7,187,564,Kruskal,781,4255,1805,186,0,0.638
8,58,174,Prim,272,2436,0,0,348,0.140
8,58,174,Kruskal,272,1096,434,57,0,0.216
9,243,729,Prim,1085,13122,0,0,1458,0.531
9,243,729,Kruskal,1085,5691,2520,242,0,0.821
10,231,693,Prim,1047,12474,0,0,1386,0.520
10,231,693,Kruskal,1047,5396,2792,230,0,0.861
1,672,2016,Prim,3173,44352,0,0,4032,2.060
1,672,2016,Kruskal,3173,16765,8770,671,0,2.658
2,965,2910,Prim,4450,64020,0,0,5820,2.500
2,965,2910,Kruskal,4450,24852,12817,964,0,3.182
3,350,1053,Prim,1538,21060,0,0,2106,0.799
3,350,1053,Kruskal,1538,8369,4105,349,0,1.102
4,444,1332,Prim,1981,26640,0,0,2664,1.146
4,444,1332,Kruskal,1981,10861,5548,443,0,1.093
5,566,1710,Prim,2505,37620,0,0,3420,1.154
5,566,1710,Kruskal,2505,13938,7168,565,0,1.622
6,990,2973,Prim,4365,65406,0,0,5946,2.119
6,990,2973,Kruskal,4365,25546,13082,989,0,2.411
7,384,1155,Prim,1807,23100,0,0,2310,0.881
7,384,1155,Kruskal,1807,9288,4225,383,0,0.864
8,709,2127,Prim,3214,46794,0,0,4254,1.475
8,709,2127,Kruskal,3214,17869,9110,708,0,2.164
9,639,1923,Prim,2924,42306,0,0,3846,1.829
9,639,1923,Kruskal,2924,16072,8579,638,0,1.512
10,534,1605,Prim,2446,35310,0,0,3210,1.158
10,534,1605,Kruskal,2446,13321,7165,532,0,1.292
1,1683,3424,Prim,10259,82176,0,0,6848,2.380
1,1683,3424,Kruskal,10259,29139,16339,1680,0,3.300
2,1017,2080,Prim,6336,45760,0,0,4160,1.238
2,1017,2080,Kruskal,6336,17546,9588,1016,0,2.639
3,1220,2494,Prim,7422,59856,0,0,4988,1.896
3,1220,2494,Kruskal,7422,21185,11773,1218,0,2.533
